PLAYER,TOTAL_SCORE,CHEST_COUNT,Arena,Authority Rush tournament,Clan wealth,Clash for the Throne tournamer,Epic Ancient squad,Epic Undead squad,Jormungandr Shop,Level 10 Citadel,Level 10 Crypt,Level 10 rare Crypt,Level 15 Citadel,Level 15 Crypt,Level 15 epic Crypt,Level 15 rare Crypt,Level 16 heroic Monster,Level 20 Citadel,Level 20 Crypt,Level 20 epic Crypt,Level 20 heroic Monster,Level 20 rare Crypt,Level 20-24 Vault of the Ancient,Level 25 Citadel,Level 25 Crypt,Level 25 epic Crypt,Level 25 rare Crypt,Level 25-29 Vault of the Ancient,Level 30 Citadel,Level 30 epic Crypt,Level 30 rare Crypt,Level 30-34 Vault of the Ancient,Level 32 heroic Monster,Level 35 epic Crypt,Level 35-39 Vault of the Ancient,Level 40 heroic Monster,Level 40-44 Vault of the Ancient,Level 41 heroic Monster,Level 42 heroic Monster,Level 43 heroic Monster,Level 44 heroic Monster,Level 45 Vault of the Ancients,Level 45 heroic Monster,Level 5 Crypt,Mercenary Exchange,Mimic Chest,Rise of the Ancients event,Shadow City,Union of Triumph personal rew,Union of Triumph personal rew.,Union of Triumph personal rew:
DerBremer SK,4710,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,600,2400,0,0,30,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEZLEBUB,4575,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,1825,750,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shoppingqueen49x2,4340,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2960,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeus,4310,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1850,525,800,0,750,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feldjager,4075,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,2100,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moony,4040,169,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,0,0,0,0,0,0,650,1525,150,500,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Met,3850,104,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,40,0,540,0,200,0,75,1600,1200,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyroler Bua,3760,179,0,0,0,0,0,0,0,0,380,0,75,345,315,180,0,180,400,120,0,440,0,25,825,375,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steiner,3755,124,0,0,0,0,0,0,0,0,110,0,30,225,315,0,0,0,160,420,0,120,0,75,1000,600,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moraron,3575,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,440,0,0,1600,375,200,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keratius,3575,106,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,80,420,0,0,160,0,0,550,1200,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cenn,3575,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,275,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lord Ore,3475,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2725,0,0,0,0,450,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Henry |,3390,137,0,0,0,0,0,0,0,0,0,0,0,75,135,60,0,40,1040,900,0,240,0,275,325,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dacage,3315,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,225,1550,1200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anararad,3155,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,75,0,0,90,0,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GoldRush,3020,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,275,300,0,0,120,720,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daledeyl,2750,135,0,0,0,0,0,0,0,0,50,0,45,240,270,30,0,20,180,60,0,0,0,575,950,0,0,0,210,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hausarzt,2735,101,0,0,0,0,0,0,0,0,0,0,15,0,45,60,0,60,60,300,0,320,0,0,1400,375,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schmerztherapeut,2720,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,1100,0,150,0,180,180,360,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treibhaus,2430,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1620,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordaginn,2420,71,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,600,0,200,0,0,600,0,450,0,90,90,240,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAC29,2415,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,1275,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahoni,2365,79,0,0,0,0,0,0,0,0,10,0,0,30,0,0,0,180,200,660,0,80,0,0,500,375,150,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mimin,2325,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,0,0,120,0,0,375,150,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluxsfire,2280,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,350,275,0,200,0,0,0,360,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herzog Ropp,2190,84,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1500,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ragnar Ansgar,2020,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,480,0,120,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hammerschlag1,2015,88,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,40,20,540,0,0,0,50,675,150,0,0,210,180,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OsmanliTorunu,1920,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,680,0,25,675,450,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darkhammer,1700,97,0,0,0,0,0,0,0,0,30,0,0,405,0,0,0,0,600,120,0,0,0,0,425,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murmeltiger,1695,60,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,80,0,0,575,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drachen 2,1690,48,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,60,0,0,0,0,0,550,75,450,0,0,360,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schaanwald,1660,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20,60,0,80,0,175,775,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dexter,1660,69,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno,1590,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metaur,1570,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,0,0,0,0,875,75,0,0,0,360,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arminius,1515,91,0,0,0,0,0,0,0,0,0,0,0,825,180,30,0,40,80,60,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mork vom Ork,1495,68,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,1150,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pumuckl,1455,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,975,0,250,0,0,90,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alf,1440,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,640,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engelchen,1410,50,0,0,0,0,0,0,0,0,0,0,15,0,180,60,0,20,600,420,0,40,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Runebinder,1325,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,225,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leviathan,1265,51,0,0,0,0,0,0,0,0,60,0,0,45,45,0,0,0,500,240,0,0,0,0,225,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asterix,1235,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,400,75,350,0,0,90,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roin,1130,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simply Mani,1085,27,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,60,0,0,0,0,425,375,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Django,985,36,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triple X,985,40,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alarich,960,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,210,180,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montrius,945,50,0,0,0,0,0,0,0,0,160,0,0,195,135,0,0,0,100,0,0,0,0,0,25,0,150,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ananas Mahoni,865,36,0,0,0,0,0,0,0,0,20,0,0,15,45,0,0,0,80,180,0,200,0,0,100,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dagdarim,860,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,300,0,0,0,0,350,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landfleischerei,820,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,250,150,0,0,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mo Alking,725,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,0,0,0,25,225,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WaLdl,720,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,25,50,150,0,0,240,90,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reckless,705,40,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,125,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snowweaver,635,40,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,380,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julius Casar,630,23,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,60,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thommy,585,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP DancingQueen,500,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nobe,445,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,60,0,0,0,0,0,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Ruad,400,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Nightwoolf,285,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexa Elly,260,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bafur,225,16,0,0,0,0,0,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meg,205,9,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,40,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAFUR,155,13,0,0,0,0,0,0,0,0,40,0,0,75,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darloting,110,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darksion500,95,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THC CP,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Loyalty,75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koriander,60,4,0,0,0,0,0,0,0,0,0,0,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR STRANGE,45,3,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D4rkBlizZ4rD,20,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobi,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lupa,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dervilas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
